1654622342.201297985,8.27754e-05,-0.000322406,0.72444,0.00211882,0.00352577,3.61786e-06,0.00811447,-0.0316054,0.0627108
1654622342.206377142,0.958788,-0.922552,-0.0315596,-10.4801,-27.4774,0.00024456,0.0376728,-0.0560037,0.00131242
1654622342.210825987,-0.48898,2.64634,-0.143734,-10.562,-27.4868,-0.00037472,0.000169052,0.0326229,-0.0120722
1654622342.218194878,0.704583,0.807433,-0.0581107,-8.46099,-22.2141,-0.000404818,0.0339914,-0.0207899,-0.00705195
1654622342.222339870,1.4246,0.135493,-0.0405681,-6.69799,-17.7322,-0.000427607,0.0672307,-0.0581972,-0.00669591
1654622342.225653769,0.590753,1.071,-0.157591,0.033291,-11.2918,-0.00111692,0.0261169,-0.0257248,-0.0195741
1654622342.230885998,1.3866,2.40321,-0.0221327,-9.03302,-9.98822,-0.000704285,0.0893967,0.0480398,-0.00895914
1654622342.235775676,0.625784,2.35867,0.0666548,-10.854,-8.38136,-9.96909e-05,0.0316157,0.0486726,8.16336e-05
1654622342.240862385,0.535849,2.37984,0.0830978,2.19599,-4.64036,0.000302464,-0.00975744,0.0520562,0.00362726
1654622342.245762271,0.510583,2.39318,0.158397,-2.16355,6.00968,0.00100479,0.0158838,0.0310945,0.013574
1654622342.250744084,1.39744,2.17582,0.368216,-4.04956,5.06178,0.00261168,0.105959,0.0671267,0.0391414
1654622342.255802719,0.890979,1.76436,0.102665,-2.6764,2.00483,0.00194029,0.0367364,0.0808392,0.0199869
1654622342.261671666,1.22388,0.955114,-0.0606189,-3.30267,4.53092,0.000915065,0.0583859,0.0184113,0.00493332
1654622342.265882699,1.13719,1.15037,-0.252576,-6.11893,1.16786,-0.000691154,0.045011,0.103378,-0.0170032
1654622342.270729512,1.38083,0.337566,-0.0207101,-1.82471,-1.92852,-0.000239649,0.0257839,0.0224529,0.000818103
1654622342.275911168,1.79898,0.544968,0.234106,-1.04548,-3.39262,0.00120362,0.0666806,0.0255172,0.02681
1654622342.280843554,2.19177,1.04251,0.0760567,0.00127473,-2.52337,0.00096182,0.130693,0.0535116,0.0158291
