1654108758.343300083,0,-1.03266e-309,-4.94066e-324,-0
1654108758.347676546,0,-9.70078e-310,-4.94066e-324,-0
1654108758.352694521,0,-5.41633e-310,-4.94066e-324,-0
1654108758.358360777,0,-2.97327e-310,-4.5174e-311,-0
1654108758.362635834,0,-1.50124e-310,-2.82131e-311,-0
1654108758.367772559,0,-4.32154e-311,-1.4169e-311,-0
1654108758.373434024,0,2.95863e-311,-5.78495e-312,-0
1654108758.377593821,8,0.0797536,0.120602,-0
1654108758.382586118,8,0.0740329,0.111952,-0
1654108758.387833885,8,0.0687134,0.103908,-0
1654108758.392900713,8,0.0638002,0.0964779,-0
1654108758.397527281,8,0.0577507,0.0873299,-0
1654108758.402589735,8,0.0578179,0.0876164,-0
1654108758.408292033,8,0.0516839,0.0783273,-0
1654108758.413637560,8,0.0463433,0.0702389,-0
1654108758.417407982,8,0.0404294,0.061281,-0
1654108758.423124655,8,0.0479794,0.0731494,-0
1654108758.427636952,8,0.0425716,0.0649263,-0
1654108758.432926645,8,0.0359313,0.0548293,-0
1654108758.439945299,8,0.0312633,0.0477328,-0
1654108758.444149367,8,0.0253727,0.0387694,-0
1654108758.448525726,8,0.0212185,0.0324494,-0
1654108758.452997294,8,0.0166022,0.0254229,-0
1654108758.460030271,8,0.0115786,0.0177724,-0
1654108758.463801213,8,0.00754394,0.0116277,-0
1654108758.467575957,8,0.00423006,0.00658067,-0
1654108758.472955755,8,0.00132115,0.00215072,-0
1654108758.480001023,8,-0.00167343,-0.00241236,-0
1654108758.483791913,8,0.00889052,0.0141898,-0
1654108758.487324990,8,0.00596996,0.00970354,-0
1654108758.492498850,8,0.00336072,0.00569441,-0
1654108758.497539065,8,0.000757959,0.00168712,-0
1654108758.502926467,8,-0.00172386,-0.00214006,-0
1654108758.508061212,8,-0.00386121,-0.00543476,-0
1654108758.512892780,8,-0.0057086,-0.00828136,-0
1654108758.517514140,8,-0.00742358,-0.0109301,-0
1654108758.522529927,8,-0.00894661,-0.0132868,-0
1654108758.527608995,7.43327,0.00407302,0.0072495,-0
1654108758.533007335,7.43327,0.00185661,0.00379666,-0
1654108758.537413642,7.43327,-7.74896e-05,0.000776589,-0
1654108758.542758128,7.43327,-0.0020009,-0.00223613,-0
1654108758.547825529,7.43327,-0.0037323,-0.00494471,-0
1654108758.552623660,7.43327,-0.00529474,-0.00738563,-0
1654108758.557652103,7.43327,-0.00680154,-0.00975029,-0
1654108758.562660391,3.93463,0.0478667,0.0198088,0
1654108758.567460813,3.93463,0.0426278,0.0156179,0
1654108758.572658788,3.93463,0.0368924,0.0113802,0
1654108758.577652283,3.93463,0.0318334,0.0076401,0
1654108758.583513384,3.93463,0.0273232,0.00429731,0
1654108758.587714430,3.53419,0.0136324,0.000888242,0
1654108758.592584488,3.53419,0.00920828,-0.00247527,-0
1654108758.597937098,3.53419,0.00546862,-0.00540847,-0
1654108758.603017938,3.53419,0.00226713,-0.00799182,-0
