1650515804.496763734,-0.0110521,0.00199737,-0.00516823,-0.453894,8.75474
1650515804.503057215,-0.010919,-0.000133158,-0.00839215,-0.457678,8.80704
1650515804.506217914,-0.0147805,0.00479369,-0.0063041,-0.455586,8.69294
1650515804.512333536,-0.0111853,0.00213053,-0.00216693,-0.451248,8.75474
1650515804.515540848,-0.0103863,0.00306264,-0.0108918,-0.45588,8.75949
1650515804.521664959,-0.00759001,0.00319579,-0.00354367,-0.454848,8.72384
1650515804.527745789,-0.0139816,0.00785633,-0.00299604,-0.458595,8.72384
1650515804.530865499,-0.00705738,0.00226369,-0.00217519,-0.456721,8.72146
1650515804.537095441,-0.00945422,-0.00199737,-0.00623589,-0.455911,8.78802
1650515804.540136195,-0.0131826,0.00332895,-0.00491005,-0.456838,8.72859
1650515804.546356397,-0.0166448,0.000399474,-0.00406362,-0.452834,8.78327
1650515804.552469518,-0.0149137,0.00599211,-0.00517245,-0.458174,8.74761
1650515804.555578448,-0.0122505,0.00106526,-0.00649715,-0.458982,8.80228
1650515804.561739485,-0.00932106,0.00133158,-0.00461753,-0.453027,8.76425
1650515804.567852450,-0.0121174,-0.000932106,1.59275e-05,-0.455289,8.72384
1650515804.570954556,-0.0106526,0.000798948,-0.000256839,-0.451697,8.75949
1650515804.577173561,-0.00972054,-0.000532632,-0.00955694,-0.457283,8.73335
1650515804.580207908,-0.0161121,0.00439422,-0.00135095,-0.459045,8.7381
1650515804.586486703,-0.0111853,0.00506001,-0.00793756,-0.456157,8.70958
1650515804.592570762,-0.00958738,-0.00106526,-0.00571547,-0.456641,8.75236
1650515804.595702868,-0.0113184,-0.00359527,-0.00409018,-0.454078,8.72622
1650515804.601881248,-0.00905475,0.0041279,-0.00900995,-0.453535,8.73335
1650515804.604954814,-0.0135821,-0.00066579,-0.00299604,-0.45551,8.72384
1650515804.611250639,-0.0115848,-0.00119842,-0.00896846,-0.458961,8.77376
1650515804.617360740,-0.013449,-0.00213053,-0.00462004,-0.456539,8.75949
1650515804.620503626,-0.0162453,0.00133158,-0.00516683,-0.454668,8.75712
1650515804.626767682,-0.0115848,-0.00253,-0.00297658,-0.454039,8.78089
1650515804.632860960,-0.0121174,-0.00106526,-0.0079419,-0.457918,8.70482
1650515804.635989680,-0.00812264,0.000266316,-0.00460753,-0.455248,8.78327
1650515804.642189518,-0.0141148,0.00386158,-0.00244708,-0.458159,8.72859
1650515804.645308812,-0.0139816,0.00426106,-0.00408129,-0.453441,8.74523
1650515804.651516045,-0.00812264,0.00639159,-0.0062613,-0.454442,8.75236
1650515804.657673176,-0.0106526,0.00239684,-0.00519361,-0.460896,8.71195
1650515804.660807261,-0.00506001,0.00639159,-0.00514866,-0.458753,8.78802
1650515804.666943351,-0.01012,0.000932106,-0.00928597,-0.454305,8.73097
